Id	Name	EnemyIds	Pos	Island	
Id	关卡名称	敌人Id的数组	所有怪物的位置	所属岛屿	
10001	1	10001	0,0,0	1	
10002	2	10001=10002	1.5,0,2=-1.5,0,2	1	
10003	3	10002=10001=10002	3,0,1=0,0,1=-3,0,1	1	
10004	4	10001=10003=10002	3,0,1=0,0,1=-3,0,1	1	
10005	5	10003=10003	1.5,0,2=-1.5,0,2	1	
10006	6	10002	0,0,0	0	
10007	7	10001=10002	1.5,0,2=-1.5,0,2	1	
10008	8	10002=10001=10002	3,0,1=0,0,1=-3,0,1	1	
10009	9	10001=10003=10002	3,0,1=0,0,1=-3,0,1	1	
10010	10	10003=10003	1.5,0,2=-1.5,0,2	1	
10011	11	10004	0,0,0	1	
10012	12	10005	0,0,0	1	
10013	13	10006	0,0,0	1	
10014	14	10007	0,0,0	1	
10015	15	10008	0,0,0	1	
10016	16	10009	0,0,0	1	
10017	17	10010	0,0,0	1	
10018	18	10011	0,0,0	1	
